SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER
BHARATCOAL,Bharat Coking Coal Limited,EQ,INE05XR01022
BHARATFORG,Bharat Forge Limited,EQ,INE465A01025
BHARATRAS,Bharat Rasayan Limited,EQ,INE838B01021
BHARATSE,Bharat Seats Limited,EQ,INE415D01024
BHARATWIRE,Bharat Wire Ropes Limited,EQ,INE316L01019
BHARTIARTL,Bharti Airtel Limited,EQ,INE397D01024
BHARTIHEXA,Bharti Hexacom Limited,EQ,INE343G01021
BHEL,Bharat Heavy Electricals Limited,EQ,INE257A01026
BI,Bilcare Limited,EQ,INE986A01012
BIGBLOC,Bigbloc Construction Limited,EQ,INE412U01025
BIKAJI,Bikaji Foods International Limited,EQ,INE00E101023
BIL,Bhartiya International Limited,EQ,INE828A01016
BIMETAL,Bimetal Bearings Limited,EQ,INE469A01019
BIOCON,Biocon Limited,EQ,INE376G01013
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,INE829A01014
BIRLACORPN,Birla Corporation Limited,EQ,INE340A01012
BIRLAMONEY,Aditya Birla Money Limited,EQ,INE865C01022
BIRLANU,BirlaNu Limited,EQ,INE557A01011
BIRLAPREC,Birla Precision Technologies Limited,EQ,INE372E01025
BLACKBUCK,BLACKBUCK LIMITED,EQ,INE0UIZ01018
BLAL,BEML Land Assets Limited,EQ,INE0N7W01012
BLBLIMITED,BLB Limited,EQ,INE791A01024
BLIL,Balmer Lawrie Investments Limited,EQ,INE525F01025
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,INE350H01032
BLS,BLS International Services Limited,EQ,INE153T01027
BLSE,BLS E-Services Limited,EQ,INE0NLT01010
BLUECHIP,Blue Chip India Limited,EQ,INE657B01025
BLUEDART,Blue Dart Express Limited,EQ,INE233B01017
BLUEJET,Blue Jet Healthcare Limited,EQ,INE0KBH01020
BLUESTARCO,Blue Star Limited,EQ,INE472A01039
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,INE304W01038
BLUSPRING,Bluspring Enterprises Limited,EQ,INE0U4101014
BMWVENTLTD,BMW Ventures Limited,EQ,INE965W01036
BNAGROCHEM,BN Agrochem Limited,EQ,INE00HZ01011
